iter	Passed	Remaining
0	174	174772
1	182	90824
2	192	63842
3	200	50044
4	206	41062
5	262	43461
6	269	38285
7	275	34217
8	281	30986
9	305	30251
10	311	27966
11	316	26073
12	322	24464
13	328	23104
14	331	21791
15	335	20630
16	338	19569
17	366	20019
18	369	19055
19	371	18187
20	373	17402
21	375	16714
22	378	16062
23	380	15469
24	382	14923
25	384	14413
26	386	13941
27	388	13502
28	391	13094
29	393	12714
30	429	13430
31	439	13285
32	441	12945
33	444	12630
34	446	12321
35	449	12029
36	451	11752
37	453	11492
38	456	11246
39	458	11011
40	461	10785
41	463	10573
42	465	10368
43	468	10169
44	474	10069
45	476	9886
46	479	9720
47	482	9561
48	484	9402
49	487	9259
50	489	9114
51	492	8971
52	494	8835
53	496	8701
54	498	8572
55	501	8462
56	504	8341
57	511	8306
58	513	8195
59	516	8097
60	519	7996
61	521	7894
62	524	7797
63	526	7699
64	528	7604
65	531	7519
66	534	7448
67	536	7346
68	538	7266
69	540	7186
70	542	7101
71	545	7033
72	548	6959
73	549	6879
74	551	6806
75	553	6732
76	555	6660
77	557	6588
78	559	6518
79	562	6467
80	564	6399
81	565	6334
82	567	6275
83	569	6213
84	571	6147
85	593	6307
86	595	6244
87	597	6192
88	599	6140
89	602	6090
90	604	6040
91	607	5997
92	610	5951
93	612	5905
94	614	5858
95	617	5811
96	619	5763
97	621	5717
98	623	5673
99	625	5628
100	659	5870
101	660	5816
102	662	5771
103	664	5725
104	666	5681
105	671	5663
106	673	5620
107	675	5578
108	677	5537
109	679	5495
110	681	5454
111	684	5425
112	686	5389
113	688	5349
114	689	5309
115	691	5267
116	692	5228
117	694	5190
118	695	5150
119	698	5124
120	701	5095
121	703	5059
122	703	5019
123	705	4984
124	707	4949
125	708	4915
126	710	4882
127	711	4849
128	714	4822
129	716	4796
130	718	4765
131	719	4734
132	721	4703
133	722	4672
134	724	4641
135	726	4616
136	730	4599
137	731	4571
138	733	4544
139	735	4515
140	736	4487
141	738	4459
142	739	4431
143	741	4406
144	743	4381
145	744	4356
146	746	4330
147	748	4306
148	749	4280
149	751	4256
150	752	4232
151	754	4210
152	757	4192
153	759	4173
154	761	4152
155	763	4129
156	764	4106
157	766	4083
158	767	4060
159	769	4038
160	771	4017
161	772	3998
162	774	3976
163	775	3954
164	777	3933
165	778	3911
166	779	3890
167	781	3868
168	782	3848
169	783	3827
