iter	Passed	Remaining
0	158	158156
1	165	82463
2	170	56621
3	175	43676
4	183	36435
5	187	31047
6	195	27802
7	200	24865
8	212	23393
9	230	22838
10	235	21162
11	244	20163
12	249	18916
13	256	18058
14	260	17133
15	264	16266
16	268	15539
17	271	14807
18	273	14109
19	275	13484
20	277	12917
21	279	12419
22	283	12061
23	285	11617
24	287	11202
25	289	10830
26	290	10471
27	292	10137
28	296	9939
29	298	9655
30	300	9383
31	301	9126
32	303	8886
33	304	8660
34	306	8442
35	307	8238
36	310	8082
37	312	7905
38	313	7732
39	315	7578
40	317	7423
41	318	7273
42	320	7127
43	321	6995
44	325	6902
45	326	6779
46	328	6658
47	329	6542
48	331	6428
49	332	6319
50	333	6213
51	335	6111
52	339	6061
53	341	5973
54	342	5890
55	344	5808
56	346	5724
57	347	5642
58	350	5584
59	354	5557
60	356	5482
61	357	5409
62	358	5337
63	360	5267
64	361	5199
65	362	5133
66	364	5070
67	365	5007
68	368	4974
69	371	4934
70	372	4879
71	374	4824
72	375	4771
73	377	4718
74	378	4666
75	379	4617
76	381	4572
77	385	4553
78	386	4509
79	388	4464
80	389	4419
81	390	4376
82	391	4326
83	392	4285
84	394	4244
85	396	4210
86	398	4181
87	400	4145
88	401	4110
89	403	4079
90	404	4045
91	406	4010
92	407	3976
93	409	3942
94	410	3915
95	413	3896
96	415	3865
97	417	3841
98	419	3820
99	422	3802
100	424	3779
101	426	3759
102	428	3731
103	429	3704
104	431	3677
105	432	3649
106	434	3622
107	435	3595
108	436	3570
109	441	3569
110	442	3545
111	444	3520
112	445	3495
113	446	3471
114	448	3447
115	449	3424
116	450	3399
117	451	3375
118	456	3378
119	458	3362
120	460	3348
121	463	3334
122	465	3316
123	470	3323
124	472	3308
125	474	3292
126	476	3273
127	477	3256
128	479	3239
129	481	3221
130	485	3218
131	487	3206
132	489	3189
133	490	3172
134	492	3156
135	494	3139
136	495	3122
137	499	3120
138	502	3110
139	503	3094
140	505	3078
141	506	3058
142	508	3044
143	514	3061
144	518	3057
145	520	3044
146	522	3031
147	523	3016
148	525	3002
